Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (km),Avg Speed (km/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (m),Elevation Descended (m)
Outdoor Walk,2025-12-29 11:04,2025-12-29 11:33,00:29:40,230.73,152.69,103,94.72,2.56,5.18,3047,102.67,,,,36.56,
Hiking,2025-12-28 09:25,2025-12-28 11:24,01:49:49,660.33,430.91,121,90.34,5.76,3.15,7166,65.25,,,20.0,180.47,
Outdoor Walk,2025-12-27 17:16,2025-12-27 18:19,01:02:51,327.75,184.02,97,82.69,2.57,2.45,3590,57.12,,,,43.31,
Open Water Swim,2025-12-27 10:22,2025-12-27 10:37,00:15:14,163.48,111.12,131,115.8,267.03,1051,,,166,0.181,,,
Outdoor Walk,2025-12-25 14:15,2025-12-25 15:06,00:50:19,312.96,195.01,107,94.67,3.78,4.51,3871,76.93,,,,26.09,
Paddle Sports,2025-12-25 07:46,2025-12-25 07:53,00:07:04,86.6,72.99,177,153.91,0.611,5.17,373,52.68,,,,1,13
Outdoor Walk,2025-12-13 18:40,2025-12-13 19:26,00:45:59,355.61,250.82,117,103.34,4.24,5.54,4413,95.95,,,,34.13,
Outdoor Walk,2025-12-09 17:50,2025-12-09 18:14,00:19:50,186.57,117.16,123,106.8,1.85,5.58,1653,83.33,,,5.0,24.5,
Outdoor Walk,2025-12-08 17:56,2025-12-08 18:29,00:32:32,250.42,168.99,124,102.55,2.76,5.09,3073,94.45,,,,35.44,
Outdoor Walk,2025-12-07 16:50,2025-12-07 17:41,00:49:44,378.06,255.12,107,93.06,4.44,5.35,4801,96.5,,,,38.69,
Outdoor Walk,2025-12-05 18:26,2025-12-05 18:39,00:13:41,89.85,63.77,108,95.68,1.14,4.98,410,29.96,,,1.0,16.37,
Outdoor Walk,2025-12-05 16:16,2025-12-05 17:49,01:09:41,403,233.17,112,93.33,4.04,3.48,4887,70.12,,,,47.51,
Outdoor Walk,2025-12-03 18:41,2025-12-03 19:33,00:52:11,394.84,268.51,119,100.66,4.53,5.21,5628,107.82,,,1.0,37.97,
Outdoor Walk,2025-12-02 17:52,2025-12-02 18:33,00:33:06,279.11,179.22,139,101.09,2.65,4.81,2572,77.68,,,4.0,35.3,
Paddle Sports,2025-12-02 07:33,2025-12-02 08:04,00:30:58,310.17,223.02,138,116.02,2.27,4.39,1442,46.55,,,,,
Outdoor Walk,2025-12-01 17:29,2025-12-01 18:07,00:38:34,320.12,225.42,114,104.29,3.72,5.79,3416,88.54,,,,21.12,
Paddle Sports,2025-11-05 07:05,2025-11-05 07:48,00:43:08,508.18,399.78,179,148.13,3.01,4.19,2124,49.24,,,,254,289
Open Water Swim,2025-11-01 11:33,2025-11-01 12:29,00:25:12,306.22,189.66,124,95.68,282.65,672.58,328,13.01,281,0.186,1.0,,
Outdoor Walk,2025-10-29 20:30,2025-10-29 21:11,00:41:10,379.62,282.26,134,124.12,4.2,6.12,4602,111.76,,,,30.82,
Functional Strength Training,2025-10-29 07:16,2025-10-29 07:26,00:09:54,102.39,56.86,148,129.16,,,164,16.54,,,,,
Outdoor Walk,2025-10-28 15:21,2025-10-28 16:24,00:45:43,323.93,187.07,116,101.03,3.51,4.6,3882,84.9,,,1.0,24.99,
Paddle Sports,2025-10-28 07:38,2025-10-28 08:28,00:50:18,629.19,511.92,179,152.73,3.3,3.94,2375,47.2,,,,143,181
Paddle Sports,2025-09-29 07:48,2025-09-29 08:20,00:31:56,353.31,264.54,155,134.36,2.9,5.45,1780,55.72,,,,5,33
Open Water Swim,2025-09-28 16:59,2025-09-28 17:23,00:12:02,189.53,126.13,127,96.83,103.54,516.24,117,9.72,192,0.266,,,
Paddle Sports,2025-09-26 07:32,2025-09-26 08:12,00:39:45,493.23,392.68,175,149.7,3.04,4.59,2007,50.49,,,,37,42
Traditional Strength Training,2025-09-17 07:39,2025-09-17 08:34,00:55:25,484.35,357.1,153,114.46,,,945,17.05,,,,,
Paddle Sports,2025-09-10 07:34,2025-09-10 08:13,00:32:49,473.41,373.16,176,155.8,3.19,5.83,2335,71.13,,,,24,45
